open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646227800000,43697.80,43816.00,43321.00,43521.90,14381.337,1646229599999,625572254.70658,156663,7052.398,306826509.16551,0
1646229600000,43521.90,43795.00,43484.70,43709.90,7350.945,1646231399999,320855150.31819,88160,3948.017,172335580.82389,0
1646231400000,43709.90,44875.90,43640.40,44818.50,37152.596,1646233199999,1650844191.67441,341011,20079.502,891945594.59571,0
1646233200000,44817.70,45350.00,43810.60,44378.10,58955.128,1646234999999,2627001758.01310,524195,29472.724,1313754182.50939,0
1646235000000,44378.20,44600.00,44024.70,44116.10,20715.839,1646236799999,917195414.59250,200090,9287.804,411349452.38345,0
1646236800000,44116.10,44487.70,43939.70,44311.80,13152.066,1646238599999,582026228.76542,134451,6635.682,293713338.74253,0
1646238600000,44311.80,44469.80,44200.00,44234.90,6046.981,1646240399999,267984733.38448,67562,2646.955,117330054.70568,0
1646240400000,44235.00,44434.00,44053.00,44120.90,6520.562,1646242199999,288397609.17747,65900,2900.540,128327402.86904,0
1646242200000,44121.00,44191.10,43701.00,43734.50,10114.516,1646243999999,444312102.70963,91848,4132.665,181579717.05741,0
1646244000000,43734.50,43920.00,43677.00,43805.50,5453.301,1646245799999,238977045.24827,59282,2784.341,122036352.32161,0
1646245800000,43805.50,43888.00,43520.10,43598.90,6113.786,1646247599999,266865822.99893,69112,3035.231,132505983.92130,0
1646247600000,43598.80,43742.00,43412.00,43512.00,6001.463,1646249399999,261477378.60594,65434,2770.612,120750731.89143,0
1646249400000,43511.00,43800.00,43422.00,43690.30,5718.671,1646251199999,249593963.90457,62048,3130.133,136626338.14038,0
1646251200000,43690.40,43797.50,43661.80,43737.10,3129.902,1646252999999,136850614.61294,40037,1658.682,72531326.57286,0
1646253000000,43737.10,43893.60,43700.10,43788.40,4177.934,1646254799999,182942760.74032,43559,2239.553,98087561.07878,0
1646254800000,43788.50,43878.30,43740.00,43775.50,2066.602,1646256599999,90502446.31234,27443,1111.468,48683267.39083,0
1646256600000,43775.60,44112.10,43757.00,44052.10,4076.715,1646258399999,179048620.50505,44026,2636.380,115817442.86493,0
1646258400000,44052.20,44345.00,43845.10,44034.70,8110.104,1646260199999,357504017.26673,87815,3718.954,163983023.01353,0
1646260200000,44034.70,44200.00,43920.00,44047.20,3948.360,1646261999999,174047670.59848,45783,1864.756,82208461.42060,0
1646262000000,44047.20,44178.70,43962.90,43972.20,3091.502,1646263799999,136270704.96016,36301,1453.698,64098511.51327,0
1646263800000,43970.30,44024.40,43829.00,43885.70,3607.627,1646265599999,158452551.11199,43050,1812.175,79603888.60806,0
1646265600000,43885.80,43950.00,43657.00,43867.30,5749.362,1646267399999,251766244.66032,61145,2830.218,123955203.90797,0
1646267400000,43867.40,44048.70,43866.00,43961.00,3391.378,1646269199999,149055591.62235,36501,1836.044,80707009.55973,0
1646269200000,43961.10,43984.90,43733.10,43867.40,3366.419,1646270999999,147573457.41112,40660,1571.741,68901485.42020,0
1646271000000,43867.30,44025.60,43680.00,43820.10,3809.840,1646272799999,166972282.31346,43478,1960.418,85931466.72292,0
1646272800000,43820.10,43829.40,43655.00,43750.00,2734.529,1646274599999,119583601.35537,33465,1240.075,54227046.13537,0
1646274600000,43749.90,43833.50,43574.20,43783.30,3861.213,1646276399999,168763045.22273,43733,1820.003,79571345.17608,0
1646276400000,43781.40,43846.80,43662.80,43714.30,2026.578,1646278199999,88651297.78504,25407,1000.510,43772132.93610,0
